组,指标名,类型,功能（测什么/反映什么/怎么用）,埋点位置,实现方式

# ================= Histogram 耗时类（13 个）=================
B,drampool_dump_prepare_duration_ms,Histogram [批次],测DUMP入口到传输提交完成的本地准备耗时（逐entry StoreBegin+缓冲分配+驱逐重试+提交 不含数据传输本身 仅成功路径观测）；反映写入路径服务端CPU侧开销；P99高时结合nospace_failures与buffer_pool_usage_ratio_*归因 与I组批次总耗时差值=传输等待+Poller结算+flag等待,task_worker.cc ProcessDump() 入口L95构造 L159-168失败分支Disarm,ScopedTimer RAII 仅成功路径观测
C,drampool_load_prepare_duration_ms,Histogram [批次],测LOAD入口到传输提交完成的本地准备耗时（逐entry LoadBegin+长度校验+提交 不含传输 仅成功路径观测）；反映读取路径服务端CPU侧开销；异常时结合miss计数与I组批次总耗时归因,task_worker.cc ProcessLoad() 入口L184构造 L221-230失败分支Disarm,ScopedTimer RAII 仅成功路径观测
D,drampool_lookup_scan_duration_ms,Histogram [批次],测每batch一次的LOOKUP元数据扫描总耗时（ΣExist+结果填充 不含响应写回）；反映LOOKUP服务端主体处理时长（LOOKUP无数据传输）；均值÷平均batch_size≈单key查询成本 P99高=分片读锁竞争或lease刷新开销,task_worker.cc ProcessLookup() 扫描循环外层 L273构造 L284前析构,ScopedTimer RAII batch粒度
E,drampool_dump_transfer_duration_ms,Histogram [批次],测DUMP数据传输从提交（submit_ms）到终态（Completed/Failed/GetStatus异常）的异步耗时（涵盖网络与对端读取）；反映实际搬运能力；与prepare相加≈DUMP服务端处理主体,completion_poller.cc SettleDataTransfer() 统一出口（L263入口 一处覆盖GetStatus异常/Failed/Completed三条终态路径）,MetricsObserve(now - submit_ms)
E,drampool_load_transfer_duration_ms,Histogram [批次],同上LOAD侧（池→客户端方向搬运时长）；反映读取侧搬运能力；与prepare相加≈LOAD服务端处理主体,completion_poller.cc SettleDataTransfer() 按opcode二选一,MetricsObserve
E,drampool_response_rtt_ms,Histogram [批次],测响应从本地提交（响应写回传输发起 submit_ms于SubmitResponse成功后更新L215）到写回客户端内存完成的端到端耗时（含响应传输本身）；反映客户端感知的结果返回时延；P99高=对端写入慢（flag池等待由I组批次总耗时覆盖 不在此重复计入）,completion_poller.cc PollResponseTransfer() 终态出口（L224-260 Completed/异常/Failed三路径统一）,MetricsObserve(now - submit_ms)
G,drampool_metadata_storeend_duration_ms,Histogram [entry],测每次StoreEnd（DUMP传输Completed后entry INITIALIZED→READY）耗时（CompletionPoller线程执行）；反映DUMP终态结算的单entry成本（跨批次逐entry结算 无批次首条概念）；高=分片读锁竞争（GC每秒全分片扫描持读锁）,metadata.cc ShardMetadata::StoreEnd() 函数体（覆盖全部调用路径）,ScopedTimer RAII 无条件观测
G,drampool_metadata_loadend_duration_ms,Histogram [entry],测每次LoadEnd（TryDecRef减引用）耗时（poller终态结算/len不匹配回滚/提交失败回滚三类路径）；反映引用释放成本（单次应近常数）；异常升高=锁竞争,metadata.cc ShardMetadata::LoadEnd() 函数体,ScopedTimer RAII 无条件观测
G,drampool_metadata_evict_gc_duration_ms,Histogram [轮],测后台GC每轮全分片驱逐扫描总耗时（PerformEvict整轮=1024 shard之和 每gcIntervalMs默认1s一轮）；反映GC对系统的持续开销；均值÷gcIntervalMs=GC线程占空比 高=频繁持锁干扰业务（storeend/loadend变慢的常见外因）,drampool_server.cc GCThreadLoop() PerformEvict()调用处（L554）,ScopedTimer RAII 轮粒度
H,drampool_queue_request_enqueue_wait_ms,Histogram [批次],测每请求从准备入队到TryPush成功的入队前等待时长（含满重试sleep 未排队≈0）；反映客户端可感知的接收背压延迟；P99抬高必伴随full_total增长 分位数估计单请求接收延迟,drampool_server.cc 入队重试循环外ScopedTimer（L516前构造）,ScopedTimer RAII
I,drampool_dump_batch_total_duration_ms,Histogram [批次],测每批DUMP从TaskWorker出队到CompletionPoller响应提交完成（Pack成功 写回传输已发起）的服务端端到端总耗时（含全部本地处理+数据传输终态等待+Poller结算+flag缓冲等待 不含requestQueue排队与响应写回传输本身）；反映整批写入的服务端端到端时延（整批数据总耗时）；与dump_prepare差值=传输等待+Poller结算+flag等待 分位数不可由三段速率均值推导故直测,completion_poller.cc SubmitResponse() 入口批次统计点（§4.7） 条件opcode==Dump,MetricsObserve(now_us - record.begin_us) begin_us哨兵一次性上报
I,drampool_load_batch_total_duration_ms,Histogram [批次],同上LOAD侧；反映整批读取的服务端端到端时延；差值归因同上,同上 条件opcode==Load,MetricsObserve(now_us - record.begin_us)
I,drampool_lookup_batch_total_duration_ms,Histogram [批次],同上LOOKUP侧（无数据传输 总耗时≈scan+Poller调度+flag缓冲等待）；反映整批查询的服务端端到端时延；与lookup_scan差值=轮询调度延迟与flag等待（后者伴随response_buffer_retry增长）,同上 条件opcode==Lookup,MetricsObserve(now_us - record.begin_us)

# ================= Counter 累计类（13 个）=================
A,drampool_dump_requests_total,Counter,测累计接收并处理的DUMP请求数（每请求+1 与batch内entry数无关）；反映写入负载规模；用于负载构成分析与写入侧rate类指标分母,task_worker.cc ProcessOneRequest() DUMP分支 L75,MetricsCount(+1)
A,drampool_load_requests_total,Counter,测累计接收并处理的LOAD请求数；反映读取负载规模；作为读取侧rate类指标（miss/transfer时长）分母基准,task_worker.cc ProcessOneRequest() LOAD分支 L80,MetricsCount(+1)
A,drampool_lookup_requests_total,Counter,测累计接收并处理的LOOKUP请求数；反映查询负载规模；作为换算单请求查询成本的分母,task_worker.cc ProcessOneRequest() LOOKUP分支 L85,MetricsCount(+1)
B,drampool_dump_nospace_failures_total,Counter,测StoreBegin中缓冲分配最终失败且原因为NoSpace的entry数（两次驱逐重试后仍NoSpace才计 注册失败不计）；反映内存压力的精确归因（排除注册失败误报）；持续增长=数据池容量不足或驱逐策略失效 与buffer_pool_usage_ratio_*交叉验证 行动：扩容/调整驱逐比例,metadata.cc MetadataManager::StoreBegin() 第二次深度驱逐重试后最终return Error前（L193附近 st==Status::NoSpace()判定点）,MetricsCount(+1)
